"","OLE_CATEGORY","STATEMENT_TYPE","TOTAL_STATEMENTS","N_STATEMENTS_YOY_CHG","TOTAL_OCCURRRENCES","N_INCIDENTS_YOY_CHG","OCCURRENCES_PER_VESSEL_PLANT_ASSIGNMENT","INCI_RATE_ASSMT_YOY_CHG","OCCURRRENCES_PER_1000_DAYS","INCI_RATE_1000_YOY_CHG","PROPORT_FACTOR_GRPS_WITH_INCIS","PROPORT_WITH_INCIS_YOY_CHG","MEAN_INCIS_PER","MEDIAN_INCIS_PER","MIN_INCIS_PER","MAX_INCIS_PER","QUANT_25_INCIS_PER","QUANT_75_INCIS_PER"
"11","COAST GUARD","Safety-USCG-Fail to Conduct Drills",21,-0.58,36,-0.506849315068493,0.0311149524632671,-0.500029599460106,1.0986663411359,-0.511259030656888,0.242424242424242,-0.214718614718615,1.71428571428571,1,1,4,1,2
"12","COAST GUARD","Safety-USCG-Marine Casualty",73,-0.455223880597015,113,-0.464454976303318,0.097666378565255,-0.457048994990312,3.44859157078768,-0.469243778816307,0.727272727272727,-0.0155844155844156,1.54794520547945,1,1,6,1,2
"13","LIMITED ACCESS PROGRAMS","AFA",21,0.235294117647059,93,-0.597402597402597,0.0803802938634399,-0.591835131160974,2.83822138126774,-0.601002592487928,0.242424242424242,0.0138528138528139,4.42857142857143,1,1,35,1,2
"14","LIMITED ACCESS PROGRAMS","Amendment 80",27,-0.590909090909091,220,-0.447236180904523,0.190146931719965,-0.439592083146936,6.71407208471938,-0.452178952564881,0.181818181818182,0.0103896103896104,8.14814814814815,1,1,150,1,4.5
"15","LIMITED ACCESS PROGRAMS","Catcher Processer Longline",4,-0.636363636363636,92,1.24390243902439,0.0795159896283492,1.27493306912326,2.80770287179174,1.22383763557476,0.151515151515152,0.0372294372294372,23,15.5,1,60,1,37.5
"16","LIMITED ACCESS PROGRAMS","IFQ Retention",3,-0.863636363636364,19,-0.874172185430464,0.0164217804667243,-0.872432129222069,0.579851680043947,-0.87529732809439,0.0606060606060606,-0.110822510822511,6.33333333333333,4,1,14,2.5,9
"17","LIMITED ACCESS PROGRAMS","Rockfish Program",0,-1,0,-1,0,-1,0,-1,0,-1,NA,NA,NA,NA,NA,NA
"18","OLE PRIORITY: INTER-PERSONAL","Disruptive/Bothersome Behavior - Conflict Resolved",15,-0.5,122,1.10344827586207,0.105445116681072,1.13253658391202,3.72325815607166,1.08463940276329,0.393939393939394,-0.0346320346320346,8.13333333333333,1,1,70,1,3.5
"19","OLE PRIORITY: INTER-PERSONAL","Harassment-Assault",1,-0.857142857142857,1,-0.941176470588235,0.000864304235090752,-0.940363007778738,0.0305185094759972,-0.941702466075086,0.0303030303030303,-0.16969696969697,1,1,1,1,1,1
"20","OLE PRIORITY: INTER-PERSONAL","Harassment - Sexual",7,-0.588235294117647,10,-0.736842105263158,0.00864304235090752,-0.73320292953646,0.305185094759972,-0.739195242967491,0.181818181818182,-0.103896103896104,1.42857142857143,1,1,3,1,1.5
"21","OLE PRIORITY: INTER-PERSONAL","Intimidation, coercion, hostile work environment",14,-0.658536585365854,42,-0.859531772575251,0.0363007778738116,-0.857589256033508,1.28177739799188,-0.860787828687664,0.272727272727273,-0.298701298701299,3,1,1,10,1,3
"22","OLE PRIORITY: SAFETY AND DUTIES","Interference/Sample Biasing",10,-0.523809523809524,38,-0.895027624309392,0.0328435609334486,-0.893575975207361,1.15970336008789,-0.895966279238966,0.303030303030303,-0.211255411255411,3.8,1,1,15,1,3.5
"23","OLE PRIORITY: SAFETY AND DUTIES","Safety-NMFS",20,-0.736842105263158,93,-0.358620689655172,0.0803802938634399,-0.349751139987482,2.83822138126774,-0.364355854239389,0.424242424242424,-0.204329004329004,4.65,1,1,60,1,2
"24","PROTECTED RESOURCE & PROHIBITED SPECIES","Amendment 91 salmon",14,-0.44,29,-0.833333333333333,0.0250648228176318,-0.831028522039758,0.885036774803919,-0.834823653879411,0.151515151515152,-0.0199134199134199,2.07142857142857,2,1,5,1,3
"25","PROTECTED RESOURCE & PROHIBITED SPECIES","Gulf of Alaska Salmon",8,-0.703703703703704,10,-0.879518072289157,0.00864304235090752,-0.877851943643199,0.305185094759972,-0.880595412442948,0.0909090909090909,-0.0519480519480519,1.25,1,1,2,1,1.25
"26","PROTECTED RESOURCE & PROHIBITED SPECIES","Halibut Deck Sorting",12,-0.538461538461538,142,0.213675213675214,0.122731201382887,0.23045896771048,4.3336283455916,0.20282262303198,0.0909090909090909,-0.0233766233766234,11.8333333333333,2,1,111,1,3.25
"27","PROTECTED RESOURCE & PROHIBITED SPECIES","Marine Mammal-Feeding",2,-0.777777777777778,2,-0.9375,0.0017286084701815,-0.936635695764909,0.0610370189519944,-0.938058870204779,0.0606060606060606,-0.0536796536796537,1,1,1,1,1,1
"28","PROTECTED RESOURCE & PROHIBITED SPECIES","Marine Mammal-Harassment",1,0,2,0,0.0017286084701815,0.0138288677614521,0.0610370189519944,-0.0089419232764672,0.0303030303030303,-0.0268398268398268,2,2,2,2,2,2
"29","PROTECTED RESOURCE & PROHIBITED SPECIES","Prohibited Species - Mishandling",25,-0.468085106382979,566,2.02673796791444,0.489196197061366,2.06859432702129,17.2734763634144,1.99967310922738,0.393939393939394,-0.177489177489177,22.64,2,1,500,1,3
"30","PROTECTED RESOURCE & PROHIBITED SPECIES","Prohibited Species - Retaining",1,1,1,1,0.000864304235090752,1,0.0305185094759972,1,0.0909090909090909,1,1,1,1,1,1,1
"31","PROTECTED RESOURCE & PROHIBITED SPECIES","Sample Bias-Marine Mammals",1,1,1,1,0.000864304235090752,1,0.0305185094759972,1,0.0606060606060606,1,1,1,1,1,1,1
"32","PROTECTED RESOURCE & PROHIBITED SPECIES","Seabird-Avoidance Measures",0,-1,0,-1,0,-1,0,-1,0,-1,NA,NA,NA,NA,NA,NA
"33","PROTECTED RESOURCE & PROHIBITED SPECIES","Seabird-Harassment",2,1,2,1,0.0017286084701815,1,0.0610370189519944,1,0.121212121212121,1,1,1,1,1,1,1
