CALENDAR YEAR,COVERAGE TYPE,VESSEL TYPE,GEAR TYPE,MANAGEMENT PROGRAM CODE,NMFS REGION,TOTAL DAYS,TOTAL CRUISES,TOTAL OBSERVERS,DISTINCT OBSERVER ASSIGNMENTS,FACTOR GROUP
2020,FULL,PLANT, ,OA,BSAI,118,10,10,10,FULLPLANT OABSAI
2020,FULL,PLANT, ,OA,GOA,850,41,39,43,FULLPLANT OAGOA
2020,PARTIAL,CV,HAL,CDQ,BSAI,26,3,3,4,PARTIALCVHALCDQBSAI
2020,PARTIAL,CV,HAL,IFQ,BSAI,49,4,4,6,PARTIALCVHALIFQBSAI
2020,PARTIAL,CV,HAL,IFQ,GOA,451,34,28,72,PARTIALCVHALIFQGOA
2020,PARTIAL,CV,NPT,OA,BSAI,78,13,13,16,PARTIALCVNPTOABSAI
2020,PARTIAL,CV,NPT,OA,GOA,163,24,21,41,PARTIALCVNPTOAGOA
2020,PARTIAL,CV,POT,IFQ,BSAI,44,4,4,5,PARTIALCVPOTIFQBSAI
2020,PARTIAL,CV,POT,IFQ,GOA,168,18,17,24,PARTIALCVPOTIFQGOA
2020,PARTIAL,CV,POT,OA,BSAI,126,16,15,22,PARTIALCVPOTOABSAI
2020,PARTIAL,CV,PTR,OA,GOA,274,27,25,63,PARTIALCVPTROAGOA
2020,PARTIAL,PLANT, ,OA,GOA,282,5,5,6,PARTIALPLANT OAGOA
2021,FULL,CP/MS,HAL,CDQ,BSAI,486,23,22,23,FULLCP/MSHALCDQBSAI
2021,FULL,CP/MS,HAL,IFQ,BSAI,37,3,3,3,FULLCP/MSHALIFQBSAI
2021,FULL,CP/MS,HAL,OA,BSAI,2777,49,44,51,FULLCP/MSHALOABSAI
2021,FULL,CP/MS,HAL,OA,GOA,86,4,4,4,FULLCP/MSHALOAGOA
2021,FULL,CP/MS,NPT,A80,BSAI,9478,161,132,167,FULLCP/MSNPTA80BSAI
2021,FULL,CP/MS,NPT,CDQ,BSAI,1339,71,65,71,FULLCP/MSNPTCDQBSAI
2021,FULL,CP/MS,NPT,OA,BSAI,1483,54,52,56,FULLCP/MSNPTOABSAI
2021,FULL,CP/MS,NPT,OA,GOA,685,22,22,22,FULLCP/MSNPTOAGOA
2021,FULL,CP/MS,NPT,RPP,GOA,395,16,16,16,FULLCP/MSNPTRPPGOA
2021,FULL,CP/MS,POT,CDQ,BSAI,209,6,6,6,FULLCP/MSPOTCDQBSAI
2021,FULL,CP/MS,POT,IFQ,GOA,126,3,3,3,FULLCP/MSPOTIFQGOA
2021,FULL,CP/MS,POT,OA,BSAI,144,7,7,7,FULLCP/MSPOTOABSAI
2021,FULL,CP/MS,PTR,A80,BSAI,10,3,3,3,FULLCP/MSPTRA80BSAI
2021,FULL,CP/MS,PTR,AFA,BSAI,4869,86,77,88,FULLCP/MSPTRAFABSAI
2021,FULL,CP/MS,PTR,CDQ,BSAI,1245,51,46,51,FULLCP/MSPTRCDQBSAI
2021,FULL,CP/MS,PTR,RPP,GOA,46,3,3,3,FULLCP/MSPTRRPPGOA
2021,FULL,CV,NPT,OA,BSAI,423,22,22,25,FULLCVNPTOABSAI
2021,FULL,CV,NPT,RPP,GOA,372,34,33,40,FULLCVNPTRPPGOA
2021,FULL,CV,PTR,AFA,BSAI,4302,88,86,99,FULLCVPTRAFABSAI
2021,FULL,CV,PTR,OA,GOA,8,3,3,3,FULLCVPTROAGOA
2021,FULL,CV,PTR,RPP,GOA,368,39,38,51,FULLCVPTRRPPGOA
2021,FULL,PLANT, ,AFA,BSAI,3962,82,74,85,FULLPLANT AFABSAI
2021,FULL,PLANT, ,OA,BSAI,674,18,18,18,FULLPLANT OABSAI
2021,FULL,PLANT, ,OA,GOA,1219,35,32,43,FULLPLANT OAGOA
2021,PARTIAL,CV,HAL,IFQ,BSAI,156,11,11,14,PARTIALCVHALIFQBSAI
2021,PARTIAL,CV,HAL,IFQ,GOA,1065,60,48,172,PARTIALCVHALIFQGOA
2021,PARTIAL,CV,HAL,OA,GOA,44,8,8,9,PARTIALCVHALOAGOA
2021,PARTIAL,CV,NPT,OA,BSAI,52,7,7,9,PARTIALCVNPTOABSAI
2021,PARTIAL,CV,NPT,OA,GOA,117,20,19,32,PARTIALCVNPTOAGOA
2021,PARTIAL,CV,POT,IFQ,BSAI,38,7,7,9,PARTIALCVPOTIFQBSAI
2021,PARTIAL,CV,POT,IFQ,GOA,746,54,42,104,PARTIALCVPOTIFQGOA
2021,PARTIAL,CV,POT,OA,BSAI,127,10,10,16,PARTIALCVPOTOABSAI
2021,PARTIAL,CV,POT,OA,GOA,81,10,9,11,PARTIALCVPOTOAGOA
2021,PARTIAL,CV,PTR,OA,GOA,340,29,27,64,PARTIALCVPTROAGOA
2021,PARTIAL,PLANT, ,OA,GOA,344,5,5,6,PARTIALPLANT OAGOA
