"","CALENDAR_YEAR","COVERAGE_TYPE","VESSEL_TYPE","GEAR_TYPE","MANAGEMENT_PROGRAM_CODE","NMFS_REGION","TOTAL_DAYS","TOTAL_CRUISES","TOTAL_OBSERVERS","DISTINCT_OBSERVER_ASSIGNMENTS","FACTOR_GROUP"
"53",2021,"FULL","CP/MS","POT","IFQ","GOA",126,3,3,3,"FULLCP/MSPOTIFQGOA"
"54",2021,"FULL","CP/MS","POT","OA","BSAI",144,7,7,7,"FULLCP/MSPOTOABSAI"
"55",2021,"FULL","CP/MS","PTR","A80","BSAI",10,3,3,3,"FULLCP/MSPTRA80BSAI"
"56",2021,"FULL","CP/MS","PTR","AFA","BSAI",4869,86,77,88,"FULLCP/MSPTRAFABSAI"
"57",2021,"FULL","CP/MS","PTR","CDQ","BSAI",1245,51,46,51,"FULLCP/MSPTRCDQBSAI"
"58",2021,"FULL","CP/MS","PTR","RPP","GOA",46,3,3,3,"FULLCP/MSPTRRPPGOA"
"59",2021,"FULL","CV","HAL","IFQ","BSAI",22,1,1,1,"FULLCVHALIFQBSAI"
"60",2021,"FULL","CV","NPT","OA","BSAI",423,22,22,25,"FULLCVNPTOABSAI"
"61",2021,"FULL","CV","NPT","OA","GOA",2,1,1,1,"FULLCVNPTOAGOA"
"62",2021,"FULL","CV","NPT","RPP","GOA",372,34,33,40,"FULLCVNPTRPPGOA"
"63",2021,"FULL","CV","PTR","AFA","BSAI",4302,88,86,99,"FULLCVPTRAFABSAI"
"64",2021,"FULL","CV","PTR","OA","GOA",8,3,3,3,"FULLCVPTROAGOA"
"65",2021,"FULL","CV","PTR","RPP","GOA",368,39,38,51,"FULLCVPTRRPPGOA"
"66",2021,"FULL","PLANT"," ","AFA","BSAI",3962,82,74,85,"FULLPLANT AFABSAI"
"67",2021,"FULL","PLANT"," ","OA","BSAI",674,18,18,18,"FULLPLANT OABSAI"
"68",2021,"FULL","PLANT"," ","OA","GOA",1219,35,32,43,"FULLPLANT OAGOA"
"69",2021,"PARTIAL","CV","HAL","CDQ","BSAI",11,2,2,2,"PARTIALCVHALCDQBSAI"
"70",2021,"PARTIAL","CV","HAL","IFQ","BSAI",156,11,11,14,"PARTIALCVHALIFQBSAI"
"71",2021,"PARTIAL","CV","HAL","IFQ","GOA",1065,60,48,172,"PARTIALCVHALIFQGOA"
"72",2021,"PARTIAL","CV","HAL","OA","GOA",44,8,8,9,"PARTIALCVHALOAGOA"
"73",2021,"PARTIAL","CV","NPT","OA","BSAI",52,7,7,9,"PARTIALCVNPTOABSAI"
"74",2021,"PARTIAL","CV","NPT","OA","GOA",117,20,19,32,"PARTIALCVNPTOAGOA"
"75",2021,"PARTIAL","CV","POT","CDQ","BSAI",5,2,2,2,"PARTIALCVPOTCDQBSAI"
"76",2021,"PARTIAL","CV","POT","IFQ","BSAI",38,7,7,9,"PARTIALCVPOTIFQBSAI"
"77",2021,"PARTIAL","CV","POT","IFQ","GOA",746,54,42,104,"PARTIALCVPOTIFQGOA"
"78",2021,"PARTIAL","CV","POT","OA","BSAI",127,10,10,16,"PARTIALCVPOTOABSAI"
"79",2021,"PARTIAL","CV","POT","OA","GOA",81,10,9,11,"PARTIALCVPOTOAGOA"
"80",2021,"PARTIAL","CV","PTR","OA","GOA",340,29,27,64,"PARTIALCVPTROAGOA"
"81",2021,"PARTIAL","PLANT"," ","OA","GOA",344,5,5,6,"PARTIALPLANT OAGOA"
