"","FISCAL_YEAR","FACTOR_TYPE","FACTOR_VALUE","TOTAL_DISTINCT_OBSERVER_DEPLOYED_DAYS","TOTAL_VESSEL_PLANT_DEPLOYED_DAYS","TOTAL_VESSEL_PLANT_ASSIGNMENTS","TOTAL_CRUISES","TOTAL_OBSERVERS"
"73",2021,"COVERAGE_TYPE","FULL",34616,34827,795,600,362
"74",2021,"COVERAGE_TYPE","PARTIAL",2673,2766,349,101,64
"75",2021,"GEAR_TYPE"," ",6462,6719,154,143,119
"76",2021,"GEAR_TYPE","HAL",5110,5113,250,146,111
"77",2021,"GEAR_TYPE","NPT",12894,12896,346,296,236
"78",2021,"GEAR_TYPE","POT",1195,1196,115,76,59
"79",2021,"GEAR_TYPE","PTR",11793,11803,376,294,232
"80",2021,"MANAGEMENT_PROGRAM_CODE","A80",9510,9510,197,192,159
"81",2021,"MANAGEMENT_PROGRAM_CODE","AFA",14621,14631,357,314,229
"82",2021,"MANAGEMENT_PROGRAM_CODE","CDQ",3256,3256,180,179,149
"83",2021,"MANAGEMENT_PROGRAM_CODE","IFQ",1861,1864,235,92,64
"84",2021,"MANAGEMENT_PROGRAM_CODE","OA",9025,9286,385,293,223
"85",2021,"MANAGEMENT_PROGRAM_CODE","RPP",1141,1145,90,67,64
"86",2021,"NMFS_REGION","BSAI",31887,31919,724,568,351
"87",2021,"NMFS_REGION","GOA",5409,5677,479,212,157
"88",2021,"VESSEL_TYPE","CP/MS",22433,22439,431,390,256
"89",2021,"VESSEL_TYPE","CV",8417,8435,556,250,197
"90",2021,"VESSEL_TYPE","PLANT",6462,6719,154,143,119
