CITATION,OLE_CATEGORY,OLD_AFFIDAVIT_TYPE,TITLE
679.42(k)(1)(ii),4. All Other Statement Types,Miscellaneous,50 CFR
679.42(k)(2)(i),4. All Other Statement Types,Miscellaneous,50 CFR
679.42(k)(2)(ii),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(a)(1)(iii),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(a)(14)(i),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(a)(14)(ii),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(a)(21),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(a)(22),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(a)(9),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(b)(1),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(f)(18),2. Limited Access Program Specific,IFQ Retention,50 CFR
679.7(f)(19),2. Limited Access Program Specific,IFQ Retention,50 CFR
679.7(f)(20),2. Limited Access Program Specific,IFQ Retention,50 CFR
679.7(f)(21),2. Limited Access Program Specific,IFQ Retention,50 CFR
679.7(f)(22),2. Limited Access Program Specific,IFQ Retention,50 CFR
679.7(f)(23),2. Limited Access Program Specific,IFQ Retention,50 CFR
679.7(f)(24),2. Limited Access Program Specific,IFQ Retention,50 CFR
679.7(f)(25),2. Limited Access Program Specific,IFQ Retention,50 CFR
679.7(n)(3),2. Limited Access Program Specific,Rockfish Program,50 CFR
679.84(c)(2),2. Limited Access Program Specific,Rockfish Program,50 CFR
679.84(c)(9),2. Limited Access Program Specific,Rockfish Program,50 CFR
679.93(c)(2),2. Limited Access Program Specific,Amendment 80,50 CFR
679.93(c)(6),2. Limited Access Program Specific,Amendment 80,50 CFR
679.93(c)(9),2. Limited Access Program Specific,Amendment 80,50 CFR
679.51(e)(1)(iii)(A),4. All Other Statement Types,Restrict Access,50 CFR
679.51(e)(1)(iii)(B)(1),4. All Other Statement Types,Restrict Access,50 CFR
679.51(e)(1)(iv),4. All Other Statement Types,Restrict Access,50 CFR
679.51(e)(1)(v),4. All Other Statement Types,Restrict Access,50 CFR
679.51(e)(1)(vi),4. All Other Statement Types,Failure to Notify,50 CFR
679.51(e)(1)(vii),4. All Other Statement Types,Restrict Access,50 CFR
679.51(e)(1)(viii),4. All Other Statement Types,Reasonable Assistance,50 CFR
679.51(e)(1)(viii)(A),4. All Other Statement Types,Reasonable Assistance,50 CFR
679.51(e)(1)(viii)(B),4. All Other Statement Types,Reasonable Assistance,50 CFR
679.51(e)(1)(viii)(C),4. All Other Statement Types,Reasonable Assistance,50 CFR
679.51(e)(1)(viii)(D),4. All Other Statement Types,Reasonable Assistance,50 CFR
679.51(e)(1)(viii)(E),4. All Other Statement Types,Reasonable Assistance,50 CFR
679.51(e)(1)(viii)(F),4. All Other Statement Types,Reasonable Assistance,50 CFR
679.51(e)(2)(ii),4. All Other Statement Types,Failure to Notify,50 CFR
679.51(e)(2)(iii)(A),4. All Other Statement Types,Restrict Access,50 CFR
679.51(e)(2)(iii)(B)(1),4. All Other Statement Types,Reasonable Assistance,50 CFR
679.51(e)(2)(iv),4. All Other Statement Types,Restrict Access,50 CFR
679.51(e)(2)(v),4. All Other Statement Types,Restrict Access,50 CFR
679.51(e)(2)(vi)(A),4. All Other Statement Types,Reasonable Assistance,50 CFR
679.51(e)(2)(vi)(B),4. All Other Statement Types,Reasonable Assistance,50 CFR
679.7(g)(2),1. OLE Priority,Interference/Sample Bias,50 CFR
679.7(g)(3),1. OLE Priority,Interference/Sample Bias,50 CFR
679.53(b)(1)(i)(A),4. All Other Statement Types,Miscellaneous,50 CFR
679.53(b)(1)(i)(B),4. All Other Statement Types,Miscellaneous,50 CFR
679.53(b)(1)(i)(C),4. All Other Statement Types,Miscellaneous,50 CFR
679.53(b)(1)(i)(D),4. All Other Statement Types,Miscellaneous,50 CFR
679.53(b)(2)(i),4. All Other Statement Types,Miscellaneous,50 CFR
679.53(b)(2)(ii),4. All Other Statement Types,Miscellaneous,50 CFR
679.53(b)(2)(iii),4. All Other Statement Types,Miscellaneous,50 CFR
2241,1. OLE Priority,Harassment - Sexual,18 USC
679.51(e)(1)(i),4. All Other Statement Types,Inadequate Accomodations,50 CFR
679.51(e)(1)(ii)(A),1. OLE Priority,NMFS - Safety,50 CFR
679.51(e)(1)(ii)(B)(1),1. OLE Priority,NMFS - Safety,50 CFR
679.51(e)(1)(ii)(B)(2),1. OLE Priority,NMFS - Safety,50 CFR
679.51(e)(1)(ii)(B)(3),1. OLE Priority,NMFS - Safety,50 CFR
679.51(e)(1)(ix)(A),1. OLE Priority,NMFS - Safety,50 CFR
679.51(e)(1)(ix)(C),1. OLE Priority,NMFS - Safety,50 CFR
679.51(e)(1)(ix)(D),1. OLE Priority,NMFS - Safety,50 CFR
679.51(e)(2)(i),1. OLE Priority,NMFS - Safety,50 CFR
679.7(g)(1) [Count 1],1. OLE Priority,Harassment - Assault,50 CFR
679.7(g)(1) [Count 2],1. OLE Priority,Harassment - Sexual,50 CFR
679.7(g)(1) [Count 3],1. OLE Priority,Harassment - Sexual,50 CFR
679.7(g)(1) [Count 4],1. OLE Priority,"Intimidation, Coercion, Hostile Work Environment",50 CFR
679.7(g)(4),1. OLE Priority,"Intimidation, Coercion, Hostile Work Environment",50 CFR
679.7(g)(5),1. OLE Priority,"Intimidation, Coercion, Hostile Work Environment",50 CFR
679.7(g)(8),1. OLE Priority,"Intimidation, Coercion, Hostile Work Environment",50 CFR
N/A,1. OLE Priority,Disruptive/Bothersome Behavior - Conflict Resolved,
679.100(b)(1)(i),2. Limited Access Program Specific,Catcher Processor Longline,50 CFR
679.100(b)(1)(ii),2. Limited Access Program Specific,Catcher Processor Longline,50 CFR
679.100(b)(1)(iv),2. Limited Access Program Specific,Catcher Processor Longline,50 CFR
679.100(b)(2)(i)(A),2. Limited Access Program Specific,Catcher Processor Longline,50 CFR
679.100(b)(2)(i)(B),2. Limited Access Program Specific,Catcher Processor Longline,50 CFR
679.28(b)(3)(iii)(A),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(g)(7)(ix),2. Limited Access Program Specific,AFA,50 CFR
679.28(g)(7)(ix)(A),2. Limited Access Program Specific,AFA,50 CFR
679.28(g)(7)(ix)(B),2. Limited Access Program Specific,AFA,50 CFR
679.28(g)(7)(vi)(B),2. Limited Access Program Specific,AFA,50 CFR
679.28(g)(7)(vii)(A)(1),2. Limited Access Program Specific,AFA,50 CFR
679.28(g)(7)(vii)(C),2. Limited Access Program Specific,AFA,50 CFR
679.28(g)(7)(vii)(D),2. Limited Access Program Specific,AFA,50 CFR
679.28(g)(7)(vii)(E),2. Limited Access Program Specific,AFA,50 CFR
679.28(g)(7)(viii),2. Limited Access Program Specific,AFA,50 CFR
679.28(g)(7)(x)(A),2. Limited Access Program Specific,AFA,50 CFR
679.28(g)(7)(x)(B),2. Limited Access Program Specific,AFA,50 CFR
679.28(g)(7)(x)(C),2. Limited Access Program Specific,AFA,50 CFR
679.28(g)(7)(x)(D),2. Limited Access Program Specific,AFA,50 CFR
679.28(g)(7)(x)(E),2. Limited Access Program Specific,AFA,50 CFR
679.28(g)(7)(x)(F),2. Limited Access Program Specific,AFA,50 CFR
679.32(c)(2)(i)(A),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(c)(2)(i)(B),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(c)(2)(i)(C),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(c)(3)(i)(A)(1),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(c)(3)(i)(A)(4),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(c)(3)(i)(B)(1),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(c)(3)(i)(B)(2),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(c)(3)(i)(B)(3),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(c)(3)(i)(C)(1),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(c)(3)(i)(C)(2),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(c)(3)(i)(C)(3),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(c)(3)(i)(C)(4),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(c)(3)(i)(D),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(c)(3)(i)(E)(1),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(c)(3)(i)(E)(1),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(c)(3)(i)(E)(2),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(d)(1)(i),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(d)(1)(ii),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(d)(1)(iii),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(d)(2)(i),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(d)(2)(ii),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(d)(2)(iii),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(d)(2)(v),4. All Other Statement Types,Miscellaneous,50 CFR
679.42(a)(1),4. All Other Statement Types,Miscellaneous,50 CFR
679.42(c),4. All Other Statement Types,Miscellaneous,50 CFR
679.51(a)(1)(ii)(C)(5),4. All Other Statement Types,Miscellaneous,50 CFR
679.51(a)(1)(ii)(C)(5)(i),4. All Other Statement Types,Miscellaneous,50 CFR
679.51(a)(1)(ii)(C)(5)(ii),4. All Other Statement Types,Miscellaneous,50 CFR
679.51(a)(1)(ii)(C)(5)(iii),4. All Other Statement Types,Miscellaneous,50 CFR
679.51(a)(2)(ii),4. All Other Statement Types,Miscellaneous,50 CFR
679.51(a)(2)(iii),2. Limited Access Program Specific,"AFA, Amendment 80",50 CFR
679.51(a)(2)(vi)(A)(4),4. All Other Statement Types,Miscellaneous,50 CFR
679.51(a)(2)(vi)(A)(5),4. All Other Statement Types,Miscellaneous,50 CFR
679.51(a)(2)(vi)(B)(1),2. Limited Access Program Specific,AFA,50 CFR
679.51(a)(2)(vi)(C),2. Limited Access Program Specific,Amendment 80,50 CFR
679.51(a)(2)(vi)(D),2. Limited Access Program Specific,Rockfish Program,50 CFR
679.51(a)(2)(vi)(E)(1),2. Limited Access Program Specific,Catcher Processor Longline,50 CFR
679.51(b)(2)(i),2. Limited Access Program Specific,AFA,50 CFR
679.51(e)(1)(iii)(B)(2),4. All Other Statement Types,Reasonable Assistance,50 CFR
679.51(e)(1)(iii)(B)(3),4. All Other Statement Types,Reasonable Assistance,50 CFR
679.51(e)(1)(iii)(B)(4),4. All Other Statement Types,Reasonable Assistance,50 CFR
679.51(e)(1)(iii)(C),4. All Other Statement Types,Reasonable Assistance,50 CFR
679.51(e)(1)(ix)(B),4. All Other Statement Types,Failure to Notify,50 CFR
679.51(e)(2)(iii)(B)(2),4. All Other Statement Types,Reasonable Assistance,50 CFR
679.51(e)(2)(iii)(B)(3),4. All Other Statement Types,Reasonable Assistance,50 CFR
679.51(e)(3),4. All Other Statement Types,Miscellaneous,50 CFR
679.63(a)(1),2. Limited Access Program Specific,AFA,50 CFR
679.63(a)(2),2. Limited Access Program Specific,AFA,50 CFR
679.63(d)(1),2. Limited Access Program Specific,AFA,50 CFR
679.63(d)(2),2. Limited Access Program Specific,AFA,50 CFR
679.7(a)(17)(i),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(a)(18),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(f)(12),2. Limited Access Program Specific,IFQ Retention,50 CFR
679.7(f)(7),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(g)(6),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(g)(7),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(k)(1)(vi)(A),2. Limited Access Program Specific,AFA,50 CFR
679.7(k)(1)(vii)(A),2. Limited Access Program Specific,AFA,50 CFR
679.7(k)(2)(iii),2. Limited Access Program Specific,AFA,50 CFR
679.7(k)(2)(iv),2. Limited Access Program Specific,AFA,50 CFR
679.7(k)(3)(v),2. Limited Access Program Specific,AFA,50 CFR
679.7(k)(3)(vi)(A),2. Limited Access Program Specific,AFA,50 CFR
679.7(k)(3)(vi)(B),2. Limited Access Program Specific,AFA,50 CFR
679.7(n)(2)(i),2. Limited Access Program Specific,Rockfish Program,50 CFR
679.84(c)(1),2. Limited Access Program Specific,Rockfish Program,50 CFR
679.84(c)(10),2. Limited Access Program Specific,Rockfish Program,50 CFR
679.84(c)(3),2. Limited Access Program Specific,Rockfish Program,50 CFR
679.84(c)(4),2. Limited Access Program Specific,Rockfish Program,50 CFR
679.84(c)(5),2. Limited Access Program Specific,Rockfish Program,50 CFR
679.84(c)(6),2. Limited Access Program Specific,Rockfish Program,50 CFR
679.84(c)(7),2. Limited Access Program Specific,Rockfish Program,50 CFR
679.84(c)(8),2. Limited Access Program Specific,Rockfish Program,50 CFR
679.84(f)(1),2. Limited Access Program Specific,Rockfish Program,50 CFR
679.84(f)(2),2. Limited Access Program Specific,Rockfish Program,50 CFR
679.93(c)(1),2. Limited Access Program Specific,Amendment 80,50 CFR
679.93(c)(3),2. Limited Access Program Specific,Amendment 80,50 CFR
679.93(c)(4),2. Limited Access Program Specific,Amendment 80,50 CFR
679.93(c)(5),2. Limited Access Program Specific,Amendment 80,50 CFR
679.93(c)(7),2. Limited Access Program Specific,Amendment 80,50 CFR
679.102(c),,,50 CFR
679.100(b)(1)(v),,,50 CFR
679.101(b),,,50 CFR
679.93(c)(8),2. Limited Access Program Specific,Amendment 80,50 CFR
679.93(d),2. Limited Access Program Specific,Amendment 80,50 CFR
679.93(d),2. Limited Access Program Specific,Amendment 80,50 CFR
679.93(d),2. Limited Access Program Specific,Amendment 80,50 CFR
679.93(d),2. Limited Access Program Specific,Amendment 80,50 CFR
679.100(c),2. Limited Access Program Specific,Catcher Processor Longline,50 CFR
679.28(c)(3)(i),4. All Other Statement Types,Miscellaneous,50 CFR
679.28(d)(10)(iii),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(e)(6),2. Limited Access Program Specific,"AFA, Amendment 80, Rockfish Program or Catcher Processor Longline",50 CFR
679.28(i)(5),2. Limited Access Program Specific,Amendment 80,50 CFR
679.7(a)(1)(i),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(a)(1)(ii),4. All Other Statement Types,Miscellaneous,50 CFR
679.5(f)(3)(i)(C),,,50 CFR
679.5(c)(4)(ii)(B),,,50 CFR
679.5(c)(3)(ii)(B),,,50 CFR
679.5(c)(4)(ii)(A),,,50 CFR
679.5(c)(3)(ii)(A),,,50 CFR
679.5(e)(5)(ii),,,50 CFR
679.7(a)(10)(i),4. All Other Statement Types,Record Keeping and Reporting,50 CFR
679.7(a)(10)(ii),4. All Other Statement Types,Record Keeping and Reporting,50 CFR
679.7(a)(10)(iii),4. All Other Statement Types,Record Keeping and Reporting,50 CFR
679.7(a)(10)(iv),4. All Other Statement Types,Record Keeping and Reporting,50 CFR
679.7(f)(1),4. All Other Statement Types,Record Keeping and Reporting,50 CFR
679.7(f)(2),4. All Other Statement Types,Record Keeping and Reporting,50 CFR
679.5(c)(4)(vi),,,50 CFR
679.5(f)(1)(ix),,,50 CFR
679.5(c)(3)(vi),,,50 CFR
679.5(c)(3)(v)(G)(2),,,50 CFR
679.5(e)(5)(i)(B),,,50 CFR
679.5(c)(4)(viii)(B),,,50 CFR
679.5(c)(3)(viii)(A),,,50 CFR
679.5(c)(4)(vi)(H)(2),,,50 CFR
679.5(c)(4)(vi)(H)(1),,,50 CFR
679.7(f)(3)(i)(A),2. Limited Access Program Specific,IFQ Retention,50 CFR
679.7(f)(3)(i)(B),2. Limited Access Program Specific,IFQ Retention,50 CFR
679.7(f)(3)(ii),2. Limited Access Program Specific,IFQ Retention,50 CFR
679.7(f)(6)(i),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(f)(6)(ii),4. All Other Statement Types,Miscellaneous,50 CFR
216.11(b),3. Prohibited Species and Protected Resources,Marine Mammal - Feeding; Marine Mammal - Harassment,50 CFR
223.214(a)(1),3. Prohibited Species and Protected Resources,Marine Mammal - Harassment,50 CFR
223.214(a)(2),3. Prohibited Species and Protected Resources,Marine Mammal - Harassment,50 CFR
223.214(a)(3),3. Prohibited Species and Protected Resources,Marine Mammal - Harassment,50 CFR
229.3(a),3. Prohibited Species and Protected Resources,Marine Mammal - Harassment,50 CFR
229.3(c),3. Prohibited Species and Protected Resources,Marine Mammal - Harassment,50 CFR
229.3(e),3. Prohibited Species and Protected Resources,Marine Mammal - Harassment,50 CFR
229.3(f),3. Prohibited Species and Protected Resources,Marine Mammal - Harassment,50 CFR
679.21(a)(2)(i),3. Prohibited Species and Protected Resources,Prohibited Species Mishandling,50 CFR
679.21(a)(2)(ii),3. Prohibited Species and Protected Resources,Prohibited Species Mishandling,50 CFR
679.21(f)(15)(i),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
679.21(f)(15)(ii)(A)(1),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
679.21(f)(15)(ii)(A)(2),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
679.21(f)(15)(ii)(A)(3),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
679.21(f)(15)(ii)(A)(4),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
679.21(f)(15)(ii)(B)(1),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
679.21(f)(15)(ii)(B)(2),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
679.21(f)(15)(ii)(B)(3),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
679.21(f)(15)(ii)(C)(1),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
679.21(f)(15)(ii)(C)(2),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
679.21(f)(15)(ii)(C)(3),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
679.21(f)(15)(ii)(C)(4),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
679.21(f)(15)(ii)(C)(5),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
679.21(f)(15)(ii)(C)(6),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
679.21(f)(15)(iii),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
679.21(f)(iv),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
679.21(h)(6)(i),3. Prohibited Species and Protected Resources,Gulf of Alaska Salmon,50 CFR
679.21(h)(6)(ii),3. Prohibited Species and Protected Resources,Gulf of Alaska Salmon,50 CFR
679.21(h)(6)(iii),3. Prohibited Species and Protected Resources,Gulf of Alaska Salmon,50 CFR
679.21(h)(6)(iv),3. Prohibited Species and Protected Resources,Gulf of Alaska Salmon,50 CFR
679.21(h)(7),3. Prohibited Species and Protected Resources,Gulf of Alaska Salmon,50 CFR
679.24(e)(2)(i),3. Prohibited Species and Protected Resources,Seabird Avoidance,50 CFR
679.24(e)(2)(ii),3. Prohibited Species and Protected Resources,Seabird Avoidance,50 CFR
679.24(e)(2)(iii),3. Prohibited Species and Protected Resources,Seabird Avoidance,50 CFR
679.24(e)(2)(iv),3. Prohibited Species and Protected Resources,Seabird Avoidance,50 CFR
679.24(e)(2)(v)(A),3. Prohibited Species and Protected Resources,Seabird Avoidance,50 CFR
679.24(e)(2)(v)(B),3. Prohibited Species and Protected Resources,Seabird Avoidance,50 CFR
679.24(e)(2)(v)(C),3. Prohibited Species and Protected Resources,Seabird Avoidance,50 CFR
