"","CALENDAR_YEAR","CATEGORY","SUBCATEGORY","N_STATEMENTS","INCIDENT_UNIT","DISTINCT_REGS_SELECTED","N_REG_SELECTIONS","N_UNITS_REPORTED","TOTAL_UNITS","RATE","RATE_X_1000","OBSERVERS","UNITS_PER_OBSERVER","CRUISES","UNITS_PER_CRUISE","ASSIGNMENTS","UNITS_PER_ASSIGNMENT","DAYS","UNITS_PER_DAY","UNITS_PER_1000_DAYS"
"11",2023,"INTERFERENCE WITH DUTIES","DESTRUCTION OF SAMPLE/WORK/PERSONAL EFFECTS",3,"DAYS",1,3,3,32767,9.15555284279916e-05,0.0915555284279916,329,0.00911854103343465,543,0.00552486187845304,1157,0.00259291270527226,32767,9.15555284279916e-05,0.0915555284279916
"12",2023,"INTERFERENCE WITH DUTIES","NOTIFICATION",4,"HAUL",1,4,6,40324,0.000148794762424363,0.148794762424363,329,0.0182370820668693,543,0.0110497237569061,1157,0.00518582541054451,32767,0.000183111056855983,0.183111056855983
"13",2023,"INTERFERENCE WITH DUTIES","NOTIFICATION",2,"OFFL",1,2,6,5053,0.00118741341777162,1.18741341777162,329,0.0182370820668693,543,0.0110497237569061,1157,0.00518582541054451,32767,0.000183111056855983,0.183111056855983
"14",2023,"INTERFERENCE WITH DUTIES","REASONABLE ASSISTANCE",3,"DAYS",1,3,8,32767,0.000244148075807978,0.244148075807978,329,0.0243161094224924,543,0.0147329650092081,1157,0.00691443388072602,32767,0.000244148075807978,0.244148075807978
"15",2023,"INTERFERENCE WITH DUTIES","REASONABLE ASSISTANCE",1,"OFFL",1,1,8,5053,0.00158321789036216,1.58321789036216,329,0.0243161094224924,543,0.0147329650092081,1157,0.00691443388072602,32767,0.000244148075807978,0.244148075807978
"16",2023,"INTERFERENCE WITH DUTIES","REASONABLE ASSISTANCE",2,"SAMP",1,2,12,115841,0.000103590265968008,0.103590265968008,329,0.0364741641337386,543,0.0220994475138122,1157,0.010371650821089,32767,0.000366222113711966,0.366222113711966
"17",2023,"INTERFERENCE WITH DUTIES","SAMPLING INTERFERENCE",6,"SAMP",1,6,39,115841,0.000336668364396026,0.336668364396026,329,0.11854103343465,543,0.0718232044198895,1157,0.0337078651685393,32767,0.00119022186956389,1.19022186956389
"18",2023,"MARPOL/OIL SPILL","DISCHARGE OF GARBAGE OR PLASTIC, OR LOSS OF FISHING GEAR",23,"TRIP",1,23,44,4329,0.0101640101640102,10.1640101640102,329,0.133738601823708,543,0.0810313075506446,1157,0.0380293863439931,32767,0.00134281441694388,1.34281441694388
"19",2023,"MARPOL/OIL SPILL","DISCHARGE OF OIL",6,"DAYS",1,6,7,32767,0.00021362956633198,0.21362956633198,329,0.0212765957446809,543,0.0128913443830571,1157,0.00605012964563526,32767,0.00021362956633198,0.21362956633198
"20",2023,"OBSERVER SAFETY AND WORK ENVIRONMENT","ASSAULT",2,"DAYS",1,2,9,32767,0.000274666585283975,0.274666585283975,329,0.027355623100304,543,0.0165745856353591,1157,0.00777873811581677,32767,0.000274666585283975,0.274666585283975
"21",2023,"OBSERVER SAFETY AND WORK ENVIRONMENT","FOOD AND ACCOMMODATIONS",2,"DAYS",1,2,10,32767,0.000305185094759972,0.305185094759972,329,0.0303951367781155,543,0.0184162062615101,1157,0.00864304235090752,32767,0.000305185094759972,0.305185094759972
"22",2023,"OBSERVER SAFETY AND WORK ENVIRONMENT","FOOD AND ACCOMMODATIONS",2,"TRIP",1,2,28,4329,0.00646800646800647,6.46800646800647,329,0.0851063829787234,543,0.0515653775322284,1157,0.0242005185825411,32767,0.000854518265327921,0.854518265327921
"23",2023,"OBSERVER SAFETY AND WORK ENVIRONMENT","FORCED TO PERFORM CREW DUTIES",1,"DAYS",1,1,1,32767,3.05185094759972e-05,0.0305185094759972,329,0.00303951367781155,543,0.00184162062615101,1157,0.000864304235090752,32767,3.05185094759972e-05,0.0305185094759972
"24",2023,"OBSERVER SAFETY AND WORK ENVIRONMENT","HOSTILE WORK ENVIRONMENT",11,"DAYS",1,11,86,32767,0.00262459181493576,2.62459181493576,329,0.261398176291793,543,0.158379373848987,1157,0.0743301642178047,32767,0.00262459181493576,2.62459181493576
"25",2023,"OBSERVER SAFETY AND WORK ENVIRONMENT","IMPEDIMENT",3,"DAYS",1,3,12,32767,0.000366222113711966,0.366222113711966,329,0.0364741641337386,543,0.0220994475138122,1157,0.010371650821089,32767,0.000366222113711966,0.366222113711966
"26",2023,"OBSERVER SAFETY AND WORK ENVIRONMENT","INTIMIDATION/BRIBERY/COERCION",8,"DAYS",1,8,59,32767,0.00180059205908383,1.80059205908383,329,0.179331306990881,543,0.10865561694291,1157,0.0509939498703544,32767,0.00180059205908383,1.80059205908383
"27",2023,"OBSERVER SAFETY AND WORK ENVIRONMENT","SAFETY",26,"DAYS",2,26,382,32767,0.0116580706198309,11.6580706198309,329,1.16109422492401,543,0.703499079189687,1157,0.330164217804667,32767,0.0116580706198309,11.6580706198309
"28",2023,"OBSERVER SAFETY AND WORK ENVIRONMENT","SEXUAL HARASSMENT",11,"DAYS",1,11,66,32767,0.00201422162541581,2.01422162541581,329,0.200607902735562,543,0.121546961325967,1157,0.0570440795159896,32767,0.00201422162541581,2.01422162541581
"29",2023,"OPERATIONAL REQUIREMENTS","BELT AND FLOW OPERATIONS",3,"SAMP",1,3,18,115841,0.000155385398952012,0.155385398952012,329,0.0547112462006079,543,0.0331491712707182,1157,0.0155574762316335,32767,0.000549333170567949,0.54933317056795
"30",2023,"OPERATIONAL REQUIREMENTS","CATCH WEIGHING",9,"HAUL",3,9,553,40324,0.0137139172701121,13.7139172701121,329,1.68085106382979,543,1.01841620626151,1157,0.477960242005186,32767,0.0168767357402264,16.8767357402264
"31",2023,"OPERATIONAL REQUIREMENTS","CMCP",2,"DAYS",1,2,23,32767,0.000701925717947935,0.701925717947935,329,0.0699088145896656,543,0.0423572744014733,1157,0.0198789974070873,32767,0.000701925717947935,0.701925717947935
"32",2023,"OPERATIONAL REQUIREMENTS","CMCP",2,"OFFL",1,2,5,5053,0.000989511181476351,0.989511181476351,329,0.0151975683890578,543,0.00920810313075507,1157,0.00432152117545376,32767,0.000152592547379986,0.152592547379986
"33",2023,"OPERATIONAL REQUIREMENTS","DATA TRANSMISSION",1,"DAYS",1,1,32,32767,0.00097659230323191,0.97659230323191,329,0.0972644376899696,543,0.0589318600368324,1157,0.0276577355229041,32767,0.00097659230323191,0.97659230323191
"34",2023,"OPERATIONAL REQUIREMENTS","MONITORING THE FLOW OF FISH",7,"OFFL",1,7,465,5053,0.0920245398773006,92.0245398773006,329,1.41337386018237,543,0.856353591160221,1157,0.4019014693172,32767,0.0141911069063387,14.1911069063387
"35",2023,"OPERATIONAL REQUIREMENTS","OBSERVER COVERAGE",2,"DAYS",1,2,123,32767,0.00375377666554765,3.75377666554765,329,0.373860182370821,543,0.226519337016575,1157,0.106309420916162,32767,0.00375377666554765,3.75377666554765
"36",2023,"OPERATIONAL REQUIREMENTS","OPERATIONAL LINE",1,"HAUL",1,1,2,40324,4.95982541414542e-05,0.0495982541414542,329,0.0060790273556231,543,0.00368324125230203,1157,0.0017286084701815,32767,6.10370189519944e-05,0.0610370189519944
"37",2023,"OPERATIONAL REQUIREMENTS","TIMELY NOTIFICATION",1,"DAYS",1,1,2,32767,6.10370189519944e-05,0.0610370189519944,329,0.0060790273556231,543,0.00368324125230203,1157,0.0017286084701815,32767,6.10370189519944e-05,0.0610370189519944
"38",2023,"PERMITS/DOCUMENTS/RECORD KEEPING AND REPORTING","FALSE REPORTING",1,"HAUL",1,1,13,40324,0.000322388651919452,0.322388651919452,329,0.0395136778115502,543,0.0239410681399632,1157,0.0112359550561798,32767,0.000396740623187963,0.396740623187963
"39",2023,"PERMITS/DOCUMENTS/RECORD KEEPING AND REPORTING","FALSE REPORTING",8,"OFFL",1,8,440,5053,0.0870769839699189,87.0769839699189,329,1.33738601823708,543,0.810313075506446,1157,0.380293863439931,32767,0.0134281441694388,13.4281441694388
"40",2023,"PERMITS/DOCUMENTS/RECORD KEEPING AND REPORTING","GENERAL REPORTING REQUIREMENTS",14,"DAYS",4,14,340,32767,0.010376293221839,10.376293221839,329,1.03343465045593,543,0.626151012891344,1157,0.293863439930856,32767,0.010376293221839,10.376293221839
"41",2023,"PERMITS/DOCUMENTS/RECORD KEEPING AND REPORTING","GENERAL REPORTING REQUIREMENTS",20,"HAUL",4,20,639,40324,0.0158466421981946,15.8466421981946,329,1.94224924012158,543,1.1767955801105,1157,0.552290406222991,32767,0.0195013275551622,19.5013275551622
"42",2023,"PERMITS/DOCUMENTS/RECORD KEEPING AND REPORTING","GENERAL REPORTING REQUIREMENTS",4,"OFFL",1,4,235,5053,0.0465070255293885,46.5070255293885,329,0.714285714285714,543,0.432780847145488,1157,0.203111495246327,32767,0.00717184972685934,7.17184972685934
"43",2023,"PERMITS/DOCUMENTS/RECORD KEEPING AND REPORTING","IFQ PERMIT",1,"HAUL",1,1,2,40324,4.95982541414542e-05,0.0495982541414542,329,0.0060790273556231,543,0.00368324125230203,1157,0.0017286084701815,32767,6.10370189519944e-05,0.0610370189519944
"44",2023,"PERMITS/DOCUMENTS/RECORD KEEPING AND REPORTING","INSPECTION REPORTS",1,"TRIP",1,1,7,4329,0.00161700161700162,1.61700161700162,329,0.0212765957446809,543,0.0128913443830571,1157,0.00605012964563526,32767,0.00021362956633198,0.21362956633198
"45",2023,"PROHIBITED SPECIES/MARINE MAMMALS/SEABIRDS","BSAI SALMON BYCATCH",9,"HAUL",4,11,290,40324,0.00719174685051086,7.19174685051086,329,0.881458966565349,543,0.534069981583794,1157,0.250648228176318,32767,0.00885036774803919,8.85036774803919
"46",2023,"PROHIBITED SPECIES/MARINE MAMMALS/SEABIRDS","BSAI SALMON BYCATCH",5,"OFFL",4,5,258,5053,0.0510587769641797,51.0587769641797,329,0.78419452887538,543,0.475138121546961,1157,0.222990492653414,32767,0.00787377544480728,7.87377544480728
"47",2023,"PROHIBITED SPECIES/MARINE MAMMALS/SEABIRDS","GOA SALMON BYCATCH",6,"OFFL",2,6,302,5053,0.0597664753611716,59.7664753611716,329,0.917933130699088,543,0.556169429097606,1157,0.261019878997407,32767,0.00921658986175115,9.21658986175115
"48",2023,"PROHIBITED SPECIES/MARINE MAMMALS/SEABIRDS","HALIBUT DECK SORTING",2,"HAUL",2,2,51,40324,0.00126475548060708,1.26475548060708,329,0.155015197568389,543,0.0939226519337017,1157,0.0440795159896284,32767,0.00155644398327586,1.55644398327586
"49",2023,"PROHIBITED SPECIES/MARINE MAMMALS/SEABIRDS","MARINE MAMMAL",1,"DAYS",1,1,1,32767,3.05185094759972e-05,0.0305185094759972,329,0.00303951367781155,543,0.00184162062615101,1157,0.000864304235090752,32767,3.05185094759972e-05,0.0305185094759972
"50",2023,"PROHIBITED SPECIES/MARINE MAMMALS/SEABIRDS","MARINE MAMMAL",8,"MARM",2,8,16,318,0.050314465408805,50.314465408805,329,0.0486322188449848,543,0.0294659300184162,1157,0.013828867761452,32767,0.000488296151615955,0.488296151615955
"51",2023,"PROHIBITED SPECIES/MARINE MAMMALS/SEABIRDS","PROHIBITED SPECIES MISHANDLING",24,"HAUL",5,27,164,40324,0.00406705683959925,4.06705683959925,329,0.498480243161094,543,0.302025782688766,1157,0.141745894554883,32767,0.00500503555406354,5.00503555406354
"52",2023,"PROHIBITED SPECIES/MARINE MAMMALS/SEABIRDS","PROHIBITED SPECIES RETENTION",3,"HAUL",1,3,5,40324,0.000123995635353636,0.123995635353636,329,0.0151975683890578,543,0.00920810313075507,1157,0.00432152117545376,32767,0.000152592547379986,0.152592547379986
"53",2023,"SAFETY-USCG-EQUIPMENT","EPIRB",1,"DAYS",1,1,9,32767,0.000274666585283975,0.274666585283975,329,0.027355623100304,543,0.0165745856353591,1157,0.00777873811581677,32767,0.000274666585283975,0.274666585283975
"54",2023,"SAFETY-USCG-EQUIPMENT","GENERAL SAFETY EQUIPMENT",11,"DAYS",3,11,156,32767,0.00476088747825556,4.76088747825556,329,0.474164133738602,543,0.287292817679558,1157,0.134831460674157,32767,0.00476088747825556,4.76088747825556
"55",2023,"SAFETY-USCG-EQUIPMENT","SURVIVAL CRAFT",3,"DAYS",2,3,7,32767,0.00021362956633198,0.21362956633198,329,0.0212765957446809,543,0.0128913443830571,1157,0.00605012964563526,32767,0.00021362956633198,0.21362956633198
"56",2023,"SAFETY-USCG-FAIL TO CONDUCT DRILLS AND/OR SAFETY ORIENTATION","FAILURE TO CONDUCT DRILLS",14,"DAYS",2,14,481,32767,0.0146794030579547,14.6794030579546,329,1.46200607902736,543,0.885819521178637,1157,0.415730337078652,32767,0.0146794030579547,14.6794030579546
"57",2023,"SAFETY-USCG-MARINE CASUALTY","MARINE CASUALTY",61,"DAYS",1,61,96,32767,0.00292977690969573,2.92977690969573,329,0.291793313069909,543,0.176795580110497,1157,0.0829732065687122,32767,0.00292977690969573,2.92977690969573
"58",2023,"SUSTAINABLE FISHERIES","UNLAWFUL DISCARD",5,"DAYS",1,5,19,32767,0.000579851680043947,0.579851680043947,329,0.0577507598784195,543,0.0349907918968692,1157,0.0164217804667243,32767,0.000579851680043947,0.579851680043947
"59",2023,"SUSTAINABLE FISHERIES","UNLAWFUL DISCARD",14,"HAUL",4,14,292,40324,0.00724134510465232,7.24134510465232,329,0.887537993920973,543,0.537753222836096,1157,0.2523768366465,32767,0.00891140476699118,8.91140476699118
"60",2024,"CONTRACTOR REQUIREMENTS","ADMINISTRATIVE RESPONSIBILITIES",3,"DEPL",1,3,3,492,0.00609756097560976,6.09756097560976,288,0.0104166666666667,492,0.00609756097560976,983,0.00305188199389624,29940,0.000100200400801603,0.100200400801603
"61",2024,"CONTRACTOR REQUIREMENTS","DEPLOYMENT LOGISTICS",1,"DAYS",1,1,13,29940,0.000434201736806947,0.434201736806947,288,0.0451388888888889,492,0.0264227642276423,983,0.0132248219735504,29940,0.000434201736806947,0.434201736806947
"62",2024,"CONTRACTOR REQUIREMENTS","DEPLOYMENT LOGISTICS",7,"DEPL",4,8,8,492,0.016260162601626,16.260162601626,288,0.0277777777777778,492,0.016260162601626,983,0.0081383519837233,29940,0.000267201068804275,0.267201068804275
"63",2024,"CONTRACTOR REQUIREMENTS","INFORMATION TO BE PROVIDED TO OBSERVER PROGRAM",1,"DAYS",1,1,1,29940,3.34001336005344e-05,0.0334001336005344,288,0.00347222222222222,492,0.00203252032520325,983,0.00101729399796541,29940,3.34001336005344e-05,0.0334001336005344
"64",2024,"GEAR/EQUIPMENT REQUIREMENTS","BIN MONITORING",2,"DAYS",1,2,11,29940,0.000367401469605878,0.367401469605878,288,0.0381944444444444,492,0.0223577235772358,983,0.0111902339776195,29940,0.000367401469605878,0.367401469605878
"65",2024,"GEAR/EQUIPMENT REQUIREMENTS","BIN MONITORING",1,"HAUL",1,1,3,36667,8.18174380232907e-05,0.0818174380232907,288,0.0104166666666667,492,0.00609756097560976,983,0.00305188199389624,29940,0.000100200400801603,0.100200400801603
"66",2024,"GEAR/EQUIPMENT REQUIREMENTS","OBSERVER SAMPLING STATION",5,"DAYS",2,6,230,29940,0.00768203072812291,7.68203072812291,288,0.798611111111111,492,0.467479674796748,983,0.233977619532045,29940,0.00768203072812291,7.68203072812291
"67",2024,"GEAR/EQUIPMENT REQUIREMENTS","OBSERVER SAMPLING STATION",14,"TRIP",7,16,53,2732,0.0193997071742313,19.3997071742313,288,0.184027777777778,492,0.107723577235772,983,0.0539165818921668,29940,0.00177020708082832,1.77020708082832
"68",2024,"GEAR/EQUIPMENT REQUIREMENTS","SCALES",9,"DAYS",5,11,21,29940,0.000701402805611222,0.701402805611222,288,0.0729166666666667,492,0.0426829268292683,983,0.0213631739572737,29940,0.000701402805611222,0.701402805611222
"69",2024,"GEAR/EQUIPMENT REQUIREMENTS","VIDEO MONITORING SYSTEM",6,"DAYS",2,6,31,29940,0.00103540414161657,1.03540414161657,288,0.107638888888889,492,0.0630081300813008,983,0.0315361139369278,29940,0.00103540414161657,1.03540414161657
"70",2024,"GEAR/EQUIPMENT REQUIREMENTS","VIDEO MONITORING SYSTEM",1,"HAUL",1,1,2,36667,5.45449586821938e-05,0.0545449586821938,288,0.00694444444444444,492,0.0040650406504065,983,0.00203458799593082,29940,6.68002672010688e-05,0.0668002672010688
"71",2024,"GEAR/EQUIPMENT REQUIREMENTS","VMS REQUIREMENTS",1,"TRIP",1,1,1,2732,0.000366032210834553,0.366032210834553,288,0.00347222222222222,492,0.00203252032520325,983,0.00101729399796541,29940,3.34001336005344e-05,0.0334001336005344
"72",2024,"INTERFERENCE WITH DUTIES","ACCESS",8,"DAYS",3,8,119,29940,0.00397461589846359,3.97461589846359,288,0.413194444444444,492,0.241869918699187,983,0.121057985757884,29940,0.00397461589846359,3.97461589846359
"73",2024,"INTERFERENCE WITH DUTIES","DESTRUCTION OF SAMPLE/WORK/PERSONAL EFFECTS",5,"DAYS",1,5,6,29940,0.000200400801603206,0.200400801603206,288,0.0208333333333333,492,0.0121951219512195,983,0.00610376398779247,29940,0.000200400801603206,0.200400801603206
"74",2024,"INTERFERENCE WITH DUTIES","NOTIFICATION",15,"HAUL",1,15,55,36667,0.00149998636376033,1.49998636376033,288,0.190972222222222,492,0.111788617886179,983,0.0559511698880977,29940,0.00183700734802939,1.83700734802939
"75",2024,"INTERFERENCE WITH DUTIES","NOTIFICATION",7,"OFFL",2,7,36,4103,0.008774067755301,8.774067755301,288,0.125,492,0.0731707317073171,983,0.0366225839267548,29940,0.00120240480961924,1.20240480961924
"76",2024,"INTERFERENCE WITH DUTIES","REASONABLE ASSISTANCE",18,"DAYS",5,20,243,29940,0.00811623246492986,8.11623246492986,288,0.84375,492,0.49390243902439,983,0.247202441505595,29940,0.00811623246492986,8.11623246492986
"77",2024,"INTERFERENCE WITH DUTIES","REASONABLE ASSISTANCE",3,"SAMP",1,3,8,109428,7.31074313703988e-05,0.0731074313703988,288,0.0277777777777778,492,0.016260162601626,983,0.0081383519837233,29940,0.000267201068804275,0.267201068804275
"78",2024,"INTERFERENCE WITH DUTIES","SAMPLING INTERFERENCE",8,"DAYS",1,8,17,29940,0.000567802271209085,0.567802271209085,288,0.0590277777777778,492,0.0345528455284553,983,0.017293997965412,29940,0.000567802271209085,0.567802271209085
"79",2024,"INTERFERENCE WITH DUTIES","SAMPLING INTERFERENCE",8,"HAUL",1,8,58,36667,0.00158180380178362,1.58180380178362,288,0.201388888888889,492,0.117886178861789,983,0.0590030518819939,29940,0.001937207748831,1.937207748831
"80",2024,"INTERFERENCE WITH DUTIES","SAMPLING INTERFERENCE",13,"SAMP",1,13,202,109428,0.00184596264210257,1.84596264210257,288,0.701388888888889,492,0.410569105691057,983,0.205493387589013,29940,0.00674682698730795,6.74682698730795
"81",2024,"MARPOL/OIL SPILL","DISCHARGE OF GARBAGE OR PLASTIC, OR LOSS OF FISHING GEAR",45,"TRIP",1,45,53,2732,0.0193997071742313,19.3997071742313,288,0.184027777777778,492,0.107723577235772,983,0.0539165818921668,29940,0.00177020708082832,1.77020708082832
"82",2024,"MARPOL/OIL SPILL","DISCHARGE OF OIL",11,"DAYS",1,11,12,29940,0.000400801603206413,0.400801603206413,288,0.0416666666666667,492,0.024390243902439,983,0.0122075279755849,29940,0.000400801603206413,0.400801603206413
"83",2024,"OBSERVER SAFETY AND WORK ENVIRONMENT","ASSAULT",1,"DAYS",1,1,1,29940,3.34001336005344e-05,0.0334001336005344,288,0.00347222222222222,492,0.00203252032520325,983,0.00101729399796541,29940,3.34001336005344e-05,0.0334001336005344
"84",2024,"OBSERVER SAFETY AND WORK ENVIRONMENT","FOOD AND ACCOMMODATIONS",16,"DAYS",1,16,503,29940,0.0168002672010688,16.8002672010688,288,1.74652777777778,492,1.02235772357724,983,0.511698880976602,29940,0.0168002672010688,16.8002672010688
"85",2024,"OBSERVER SAFETY AND WORK ENVIRONMENT","FOOD AND ACCOMMODATIONS",3,"TRIP",1,3,17,2732,0.00622254758418741,6.22254758418741,288,0.0590277777777778,492,0.0345528455284553,983,0.017293997965412,29940,0.000567802271209085,0.567802271209085
"86",2024,"OBSERVER SAFETY AND WORK ENVIRONMENT","FORCED TO PERFORM CREW DUTIES",4,"DAYS",1,4,15,29940,0.000501002004008016,0.501002004008016,288,0.0520833333333333,492,0.0304878048780488,983,0.0152594099694812,29940,0.000501002004008016,0.501002004008016
"87",2024,"OBSERVER SAFETY AND WORK ENVIRONMENT","HOSTILE WORK ENVIRONMENT",43,"DAYS",1,43,439,29940,0.0146626586506346,14.6626586506346,288,1.52430555555556,492,0.892276422764228,983,0.446592065106816,29940,0.0146626586506346,14.6626586506346
"88",2024,"OBSERVER SAFETY AND WORK ENVIRONMENT","IMPEDIMENT",3,"DAYS",1,3,60,29940,0.00200400801603206,2.00400801603206,288,0.208333333333333,492,0.121951219512195,983,0.0610376398779247,29940,0.00200400801603206,2.00400801603206
"89",2024,"OBSERVER SAFETY AND WORK ENVIRONMENT","INTIMIDATION/BRIBERY/COERCION",10,"DAYS",1,10,15,29940,0.000501002004008016,0.501002004008016,288,0.0520833333333333,492,0.0304878048780488,983,0.0152594099694812,29940,0.000501002004008016,0.501002004008016
"90",2024,"OBSERVER SAFETY AND WORK ENVIRONMENT","SAFETY",43,"DAYS",2,43,464,29940,0.015497661990648,15.497661990648,288,1.61111111111111,492,0.943089430894309,983,0.472024415055951,29940,0.015497661990648,15.497661990648
"91",2024,"OBSERVER SAFETY AND WORK ENVIRONMENT","SEXUAL ASSAULT",5,"DAYS",2,5,7,29940,0.000233800935203741,0.233800935203741,288,0.0243055555555556,492,0.0142276422764228,983,0.00712105798575788,29940,0.000233800935203741,0.233800935203741
"92",2024,"OBSERVER SAFETY AND WORK ENVIRONMENT","SEXUAL HARASSMENT",10,"DAYS",1,10,23,29940,0.000768203072812291,0.768203072812291,288,0.0798611111111111,492,0.0467479674796748,983,0.0233977619532045,29940,0.000768203072812291,0.768203072812291
"93",2024,"OPERATIONAL REQUIREMENTS","BELT AND FLOW OPERATIONS",1,"SAMP",1,1,222,109428,0.00202873122052857,2.02873122052857,288,0.770833333333333,492,0.451219512195122,983,0.225839267548321,29940,0.00741482965931864,7.41482965931864
"94",2024,"OPERATIONAL REQUIREMENTS","CATCH WEIGHING",21,"HAUL",3,21,74,36667,0.00201816347124117,2.01816347124117,288,0.256944444444444,492,0.150406504065041,983,0.0752797558494405,29940,0.00247160988643955,2.47160988643955
"95",2024,"OPERATIONAL REQUIREMENTS","CMCP",12,"OFFL",3,13,528,4103,0.128686327077748,128.686327077748,288,1.83333333333333,492,1.07317073170732,983,0.537131230925738,29940,0.0176352705410822,17.6352705410822
"96",2024,"OPERATIONAL REQUIREMENTS","DATA TRANSMISSION",6,"DAYS",3,7,51,29940,0.00170340681362725,1.70340681362725,288,0.177083333333333,492,0.103658536585366,983,0.051881993896236,29940,0.00170340681362725,1.70340681362725
"97",2024,"OPERATIONAL REQUIREMENTS","NMFS SOFTWARE",1,"DAYS",1,1,3,29940,0.000100200400801603,0.100200400801603,288,0.0104166666666667,492,0.00609756097560976,983,0.00305188199389624,29940,0.000100200400801603,0.100200400801603
"98",2024,"OPERATIONAL REQUIREMENTS","OBSERVER COVERAGE",1,"DAYS",1,1,1,29940,3.34001336005344e-05,0.0334001336005344,288,0.00347222222222222,492,0.00203252032520325,983,0.00101729399796541,29940,3.34001336005344e-05,0.0334001336005344
"99",2024,"OPERATIONAL REQUIREMENTS","PRE-CRUISE MEETING",4,"TRIP",3,5,34,2732,0.0124450951683748,12.4450951683748,288,0.118055555555556,492,0.0691056910569106,983,0.034587995930824,29940,0.00113560454241817,1.13560454241817
"100",2024,"OPERATIONAL REQUIREMENTS","TIMELY NOTIFICATION",2,"DAYS",2,2,2,29940,6.68002672010688e-05,0.0668002672010688,288,0.00694444444444444,492,0.0040650406504065,983,0.00203458799593082,29940,6.68002672010688e-05,0.0668002672010688
"101",2024,"PERMITS/DOCUMENTS/RECORD KEEPING AND REPORTING","FALSE REPORTING",5,"DAYS",1,5,27,29940,0.000901803607214429,0.901803607214429,288,0.09375,492,0.0548780487804878,983,0.0274669379450661,29940,0.000901803607214429,0.901803607214429
"102",2024,"PERMITS/DOCUMENTS/RECORD KEEPING AND REPORTING","FALSE REPORTING",19,"HAUL",3,19,820,36667,0.0223634330596995,22.3634330596995,288,2.84722222222222,492,1.66666666666667,983,0.834181078331638,29940,0.0273881095524382,27.3881095524382
"103",2024,"PERMITS/DOCUMENTS/RECORD KEEPING AND REPORTING","FALSE REPORTING",13,"OFFL",3,13,21,4103,0.00511820619059225,5.11820619059225,288,0.0729166666666667,492,0.0426829268292683,983,0.0213631739572737,29940,0.000701402805611222,0.701402805611222
