,CALENDAR_YEAR,OLE_SYSTEM,OLD_OLE_CATEGORY,STATEMENT_TYPE,TOTAL_INCIDENTS,TOTAL_STATEMENTS,DAYS,ASSIGNMENTS,CRUISES,OBSERVERS,AFFIS_PER_DAY,INCIDENTS_PER_DAY,STATEMENTS_PER_1000_DEPLOYED_DAYS,INCIDENTS_PER_1000_DEPLOYED_DAYS,STATEMENTS_PER_90_DEPLOYED_DAYS,INCIDENTS_PER_90_DEPLOYED_DAYS,STATEMENTS_PER_OBSERVER,INCIDENTS_PER_OBSERVER,STATEMENTS_PER_CRUISE,INCIDENTS_PER_CRUISE,STATEMENTS_PER_ASSIGNMENT,INCIDENTS_PER_ASSIGNMENT
11,2023,NEW,INTER-PERSONAL categories,INTIMIDATION/BRIBERY/COERCION,59,8,16540,606,284,237,0.000483676,0.00356711,0.483675937,3.567110036,0.043530834,0.321039903,0.033755274,0.248945148,0.028169014,0.207746479,0.01320132,0.097359736
12,2023,NEW,INTER-PERSONAL categories,SEXUAL HARASSMENT,66,11,16540,606,284,237,0.000665054,0.003990326,0.665054414,3.990326481,0.059854897,0.359129383,0.046413502,0.278481013,0.038732394,0.232394366,0.018151815,0.108910891
13,2023,NEW,SAFETY AND DUTIES categories,DESTRUCTION OF SAMPLE/WORK/PERSONAL EFFECTS,3,3,16540,606,284,237,0.000181378,0.000181378,0.181378476,0.181378476,0.016324063,0.016324063,0.012658228,0.012658228,0.01056338,0.01056338,0.004950495,0.004950495
14,2023,NEW,SAFETY AND DUTIES categories,SAFETY,382,26,16540,606,284,237,0.001571947,0.023095526,1.571946796,23.095526,0.141475212,2.07859734,0.109704641,1.611814346,0.091549296,1.345070423,0.04290429,0.630363036
15,2023,NEW,SAFETY AND DUTIES categories,SAMPLING INTERFERENCE,39,6,16540,606,284,237,0.000362757,0.00235792,0.362756953,2.357920193,0.032648126,0.212212817,0.025316456,0.164556962,0.021126761,0.137323944,0.00990099,0.064356436
16,2023,OLD,COAST GUARD categories,MARINE CASUALTY,113,73,16224,550,258,221,0.004499507,0.00696499,4.499506903,6.964990138,0.404955621,0.626849112,0.330316742,0.511312217,0.282945736,0.437984496,0.132727273,0.205454545
17,2023,OLD,INTER-PERSONAL categories,DISRUPTIVE/BOTHERSOME BEHAVIOR - CONFLICT RESOLVED,122,15,16224,550,258,221,0.000924556,0.007519724,0.924556213,7.519723866,0.083210059,0.676775148,0.067873303,0.552036199,0.058139535,0.472868217,0.027272727,0.221818182
18,2023,OLD,INTER-PERSONAL categories,SEXUAL HARASSMENT,10,7,16224,550,258,221,0.00043146,0.000616371,0.431459566,0.616370809,0.038831361,0.055473373,0.031674208,0.045248869,0.027131783,0.03875969,0.012727273,0.018181818
19,2023,OLD,INTER-PERSONAL categories,"INTIMIDATION, COERCION, HOSTILE WORK ENVIRONMENT",42,14,16224,550,258,221,0.000862919,0.002588757,0.862919132,2.588757396,0.077662722,0.232988166,0.063348416,0.190045249,0.054263566,0.162790698,0.025454545,0.076363636
20,2023,OLD,SAFETY AND DUTIES categories,SAMPLING INTERFERENCE,38,10,16224,550,258,221,0.000616371,0.002342209,0.616370809,2.342209073,0.055473373,0.210798817,0.045248869,0.171945701,0.03875969,0.147286822,0.018181818,0.069090909
21,2023,OLD,SAFETY AND DUTIES categories,SAFETY,93,20,16224,550,258,221,0.001232742,0.005732249,1.232741617,5.732248521,0.110946746,0.515902367,0.090497738,0.42081448,0.07751938,0.360465116,0.036363636,0.169090909
