"","CALENDAR_YEAR","CATEGORY","SUBCATEGORY","N_STATEMENTS","INCIDENT_UNIT","DISTINCT_REGS_SELECTED","N_REG_SELECTIONS","N_UNITS_REPORTED","TOTAL_UNITS","RATE","RATE_X_1000","OBSERVERS","UNITS_PER_OBSERVER","CRUISES","UNITS_PER_CRUISE","ASSIGNMENTS","UNITS_PER_ASSIGNMENT","DAYS","UNITS_PER_DAY","UNITS_PER_1000_DAYS"
"12",2024,"INTERFERENCE WITH DUTIES","DESTRUCTION OF SAMPLE/WORK/PERSONAL EFFECTS",5,"DAYS",1,5,6,29940,0.000200400801603206,0.200400801603206,288,0.0208333333333333,492,0.0121951219512195,983,0.00610376398779247,29940,0.000200400801603206,0.200400801603206
"13",2024,"INTERFERENCE WITH DUTIES","REASONABLE ASSISTANCE",18,"DAYS",5,20,243,29940,0.00811623246492986,8.11623246492986,288,0.84375,492,0.49390243902439,983,0.247202441505595,29940,0.00811623246492986,8.11623246492986
"14",2024,"INTERFERENCE WITH DUTIES","REASONABLE ASSISTANCE",3,"SAMP",1,3,8,109428,7.31074313703988e-05,0.0731074313703988,288,0.0277777777777778,492,0.016260162601626,983,0.0081383519837233,29940,0.000267201068804275,0.267201068804275
"15",2024,"INTERFERENCE WITH DUTIES","SAMPLING INTERFERENCE",8,"DAYS",1,8,17,29940,0.000567802271209085,0.567802271209085,288,0.0590277777777778,492,0.0345528455284553,983,0.017293997965412,29940,0.000567802271209085,0.567802271209085
"16",2024,"INTERFERENCE WITH DUTIES","SAMPLING INTERFERENCE",8,"HAUL",1,8,58,36667,0.00158180380178362,1.58180380178362,288,0.201388888888889,492,0.117886178861789,983,0.0590030518819939,29940,0.001937207748831,1.937207748831
"17",2024,"INTERFERENCE WITH DUTIES","SAMPLING INTERFERENCE",13,"SAMP",1,13,202,109428,0.00184596264210257,1.84596264210257,288,0.701388888888889,492,0.410569105691057,983,0.205493387589013,29940,0.00674682698730795,6.74682698730795
"18",2024,"OBSERVER SAFETY AND WORK ENVIRONMENT","ASSAULT",1,"DAYS",1,1,1,29940,3.34001336005344e-05,0.0334001336005344,288,0.00347222222222222,492,0.00203252032520325,983,0.00101729399796541,29940,3.34001336005344e-05,0.0334001336005344
"19",2024,"OBSERVER SAFETY AND WORK ENVIRONMENT","HOSTILE WORK ENVIRONMENT",43,"DAYS",1,43,439,29940,0.0146626586506346,14.6626586506346,288,1.52430555555556,492,0.892276422764228,983,0.446592065106816,29940,0.0146626586506346,14.6626586506346
"20",2024,"OBSERVER SAFETY AND WORK ENVIRONMENT","IMPEDIMENT",3,"DAYS",1,3,60,29940,0.00200400801603206,2.00400801603206,288,0.208333333333333,492,0.121951219512195,983,0.0610376398779247,29940,0.00200400801603206,2.00400801603206
"21",2024,"OBSERVER SAFETY AND WORK ENVIRONMENT","INTIMIDATION/BRIBERY/COERCION",10,"DAYS",1,10,15,29940,0.000501002004008016,0.501002004008016,288,0.0520833333333333,492,0.0304878048780488,983,0.0152594099694812,29940,0.000501002004008016,0.501002004008016
"22",2024,"OBSERVER SAFETY AND WORK ENVIRONMENT","SAFETY",43,"DAYS",2,43,464,29940,0.015497661990648,15.497661990648,288,1.61111111111111,492,0.943089430894309,983,0.472024415055951,29940,0.015497661990648,15.497661990648
"23",2024,"OBSERVER SAFETY AND WORK ENVIRONMENT","SEXUAL ASSAULT",5,"DAYS",2,5,7,29940,0.000233800935203741,0.233800935203741,288,0.0243055555555556,492,0.0142276422764228,983,0.00712105798575788,29940,0.000233800935203741,0.233800935203741
"24",2024,"OBSERVER SAFETY AND WORK ENVIRONMENT","SEXUAL HARASSMENT",10,"DAYS",1,10,23,29940,0.000768203072812291,0.768203072812291,288,0.0798611111111111,492,0.0467479674796748,983,0.0233977619532045,29940,0.000768203072812291,0.768203072812291
